Lan,Kommun,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Gävleborg,Bollnäs,null,null,12,null,null,null,null,null,null,null,2183
Gävleborg,Gävle,38,30,27,26,26,20,15,11,50,2020,2180
Gävleborg,Hofors,16,12,7,7,6,,7,,15,2016,2104
Gävleborg,Hudiksvall,19,null,null,13,13,9,5,3,25,2016,2184
Gävleborg,Ljusdal,null,null,null,null,null,null,null,0,null,null,2161
Gävleborg,Nordanstig,null,19,15,13,12,null,3,2,null,null,2132
Gävleborg,Ockelbo,43,36,33,36,35,31,11,null,35,null,2101
Gävleborg,Ovanåker,null,null,9,12,12,9,8,1,25,2017,2121
Gävleborg,Sandviken,27,27,21,22,26,16,18,9,30,2016,2181
Gävleborg,Söderhamn,14,13,13,21,null,10,6,2,15,null,2182
Västernorrland,Härnösand,29,null,24,4,2,null,6,0,30,2016,2280
Västernorrland,Kramfors,27,null,null,18,12,null,null,4,50,2018,2282
Västernorrland,Sollefteå,19,20,14,10,6,4,3,,25,2016,2283
Västernorrland,Sundsvall,26,18,13,13,13,11,8,0,50,2018,2281
Västernorrland,Timrå,21,17,0,null,null,null,null,null,25,2020,2262
Västernorrland,Ånge,19,10,10,6,5,4,,2,20,null,2260
Västernorrland,Örnsköldsvik,27,21,null,10,5,null,2,1,50,2018,2284
Jämtland,Berg,null,null,null,null,null,null,3,5,null,null,2326
Jämtland,Bräcke,20,null,null,null,null,null,null,null,null,null,2305
Jämtland,Härjedalen,18,19,15,16,13,6,5,null,null,null,2361
Jämtland,Krokom,18,15,14,14,11,9,null,10,20,null,2309
Jämtland,Ragunda,9,null,null,9,null,null,3,1,null,null,2303
Jämtland,Strömsund,10,null,null,null,null,0,null,0,null,null,2313
Jämtland,Åre,32,32,32,33,31,29,27,24,30,2016,2321
Jämtland,Östersund,20,18,19,null,22,17,15,null,50,2020,2380
Västerbotten,Bjurholm,24,25,17,null,13,null,null,null,null,null,2403
Västerbotten,Dorotea,2,5,null,8,null,null,null,null,null,null,2425
Västerbotten,Lycksele,null,null,null,null,null,null,null,null,null,null,2481
Västerbotten,Malå,null,null,null,null,null,null,0,null,null,null,2418
Västerbotten,Nordmaling,null,null,null,null,null,null,null,null,25,2016,2401
Västerbotten,Norsjö,null,null,null,12,7,null,0,0,15,2016,2417
Västerbotten,Robertsfors,23,null,null,null,null,null,null,null,null,null,2409
Västerbotten,Skellefteå,13,13,12,null,8,3,null,null,null,null,2482
Västerbotten,Sorsele,11,6,null,null,null,null,1,0,null,null,2422
Västerbotten,Storuman,null,null,null,null,null,null,null,null,null,null,2421
Västerbotten,Umeå,25,27,27,21,20,8,10,,30,2016,2480
Västerbotten,Vilhelmina,11,8,4,10,5,2,1,5,null,null,2462
Västerbotten,Vindeln,null,null,null,null,null,0,2,3,null,null,2404
Västerbotten,Vännäs,17,17,null,null,6,5,0,null,25,2018,2460
Västerbotten,Åsele,null,null,0,null,0,null,null,null,null,null,2463
Norrbotten,Arjeplog,18,null,null,null,null,null,null,null,25,2016,2506
