Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Västra Götaland,Alingsås,43,null,21,null,16,null,null,16,null,null,9,null,null,1489
Västra Götaland,Bengtsfors,21,17,null,17,null,null,null,6,3,null,null,null,null,1460
Västra Götaland,Bollebygd,18,39,36,35,null,19,12,null,0,null,null,35,2016,1443
Västra Götaland,Borås,42,37,33,29,15,null,21,8,3,2,3,40,2016,1490
Västra Götaland,Dals-Ed,40,22,24,22,null,null,18,null,3,1,0,null,null,1438
Västra Götaland,Essunga,21,22,19,17,null,null,null,4,3,6,3,null,null,1445
Västra Götaland,Falköping,35,24,26,19,19,20,19,19,13,10,null,25,2016,1499
Västra Götaland,Färgelanda,24,null,null,null,null,null,null,null,7,0,0,null,null,1439
Västra Götaland,Grästorp,19,28,24,24,22,19,null,null,null,null,null,30,2020,1444
Västra Götaland,Gullspång,33,12,0,4,5,null,null,null,null,3,8,10,2020,1447
Västra Götaland,Göteborg,null,46,47,45,33,27,23,21,16,15,13,40,2016,1480
Västra Götaland,Herrljunga,46,40,35,38,null,27,15,null,10,null,null,25,2016,1466
Västra Götaland,Hjo,35,18,18,17,14,10,23,5,4,null,2,25,null,1497
Västra Götaland,Härryda,21,30,30,28,13,9,7,7,5,4,12,null,null,1401
Västra Götaland,Karlsborg,31,21,18,null,null,4,null,11,null,null,0,25,2018,1446
Västra Götaland,Kungälv,21,21,18,24,21,18,17,,11,9,,25,2016,1482
Västra Götaland,Lerum,27,34,39,39,30,29,35,35,23,23,11,null,null,1441
Västra Götaland,Lidköping,36,35,31,29,30,26,18,27,19,null,9,34,2016,1494
Västra Götaland,Lilla Edet,37,30,19,25,20,14,10,10,6,6,0,null,null,1462
Västra Götaland,Lysekil,19,21,17,null,null,18,18,15,12,9,null,null,null,1484
Västra Götaland,Mariestad,14,13,21,20,16,12,null,8,2,2,0,null,null,1493
Västra Götaland,Mark,14,27,30,31,31,26,24,22,18,13,14,null,null,1463
Västra Götaland,Mellerud,30,24,22,14,10,null,null,null,3,1,null,null,null,1461
Västra Götaland,Munkedal,18,18,17,null,null,7,3,null,null,null,null,25,null,1430
Västra Götaland,Mölndal,17,28,26,27,11,9,8,4,8,3,null,25,null,1481
Västra Götaland,Orust,31,45,37,32,29,null,null,8,5,3,2,35,2016,1421
Västra Götaland,Partille,47,null,null,null,null,null,null,null,null,null,0,null,null,1402
Västra Götaland,Skara och Götene,26,17,15,10,8,6,null,null,null,null,null,null,null,1471
Västra Götaland,Skövde,15,19,21,25,18,11,0,10,null,null,null,20,2016,1496
Västra Götaland,Sotenäs,22,14,16,null,null,null,null,null,null,null,null,null,null,1427
Västra Götaland,Stenungsund,20,null,null,25,6,null,null,null,null,null,null,null,null,1415
Västra Götaland,Strömstad,28,30,25,19,18,16,15,12,11,10,null,null,null,1486
Västra Götaland,Svenljunga,22,33,null,31,20,19,16,12,11,5,5,25,2016,1465
Västra Götaland,Tanum,33,35,40,41,37,35,33,29,21,21,15,50,2020,1435
Västra Götaland,Tibro,50,26,25,21,15,null,null,6,null,1,null,null,null,1472
Västra Götaland,Tidaholm,20,22,18,14,null,11,5,6,6,5,2,null,null,1498
Västra Götaland,Tjörn,26,null,20,21,20,null,null,null,18,null,null,30,2016,1419
Västra Götaland,Tranemo,31,36,33,31,null,null,null,10,8,null,null,20,2016,1452
Västra Götaland,Trollhättan,36,33,30,26,17,16,15,11,8,9,12,21,2016,1488
Västra Götaland,Töreboda,38,15,null,14,6,5,null,0,0,0,0,null,null,1473
Västra Götaland,Uddevalla,22,21,16,15,null,null,13,7,6,4,null,30,2018,1485
Västra Götaland,Ulricehamn,25,41,36,31,21,16,null,13,10,10,8,35,2020,1491
Västra Götaland,Vara,42,22,null,10,7,4,null,null,null,null,null,null,null,1470
Västra Götaland,Vårgårda,20,25,23,23,24,20,13,5,null,null,1,25,2019,1442
Västra Götaland,Vänersborg,27,26,21,18,14,12,9,10,9,5,3,null,null,1487
Västra Götaland,Åmål,27,22,null,16,13,5,null,null,3,1,null,null,null,1492
Västra Götaland,Öckerö,20,37,40,36,29,22,17,22,15,6,null,25,2016,1407
Värmland,Arvika,28,32,15,null,15,12,7,,5,,,null,null,1784
Värmland,Eda,22,13,null,null,12,12,null,13,9,2,3,null,null,1730
Värmland,Filipstad,14,21,16,12,7,null,1,null,null,0,null,15,2016,1782
Värmland,Forshaga,21,22,16,16,14,9,6,5,4,null,0,25,null,1763
Värmland,Grums,27,26,16,26,15,11,12,8,2,1,1,30,2016,1764
Värmland,Hagfors,26,15,16,18,20,17,10,8,7,null,null,null,null,1783
Värmland,Hammarö,16,25,16,31,25,25,24,20,15,null,5,30,2016,1761
Värmland,Karlstad,24,32,16,25,23,21,23,20,18,13,8,50,2020,1780
Värmland,Kil,31,31,16,32,27,24,20,18,20,9,7,30,2018,1715
Värmland,Kristinehamn,28,33,16,25,22,19,18,15,13,12,0,25,2016,1781
Värmland,Munkfors,35,19,16,12,10,11,13,null,10,5,null,null,null,1762
Värmland,Storfors,23,18,null,0,0,0,0,null,null,null,null,null,null,1760
Värmland,Sunne,18,29,25,22,18,9,5,null,null,null,null,null,null,1766
Värmland,Säffle,22,null,null,17,null,null,null,null,3,2,null,null,null,1785
Värmland,Torsby,22,16,null,15,13,8,null,null,null,1,null,null,null,1737
Värmland,Årjäng,null,null,null,null,null,null,null,null,2,2,2,null,null,1765
Örebro,Askersund,null,33,null,41,21,22,19,null,2,1,0,null,null,1882
Örebro,Hallsberg,32,29,29,null,25,23,null,25,16,5,5,null,null,1861
Örebro,Hällefors,28,36,41,33,32,20,13,13,null,7,5,25,2016,1863
Örebro,Karlskoga-Degerfors,33,40,30,29,13,9,7,6,null,2,null,20,2016,1883
Örebro,Kumla,23,33,null,null,null,null,null,18,18,17,5,null,null,1881
Örebro,Laxå,28,31,36,null,null,19,null,null,null,null,null,25,2018,1860
Örebro,Lekeberg,35,33,29,13,25,null,null,null,4,2,1,33,2016,1814
Örebro,Lindesberg,37,33,null,null,26,21,16,16,7,4,4,null,null,1885
Örebro,Ljusnarsberg,31,35,26,14,null,11,null,null,null,null,null,null,null,1864
Örebro,Nora,33,32,33,33,33,31,15,18,9,8,null,32,2016,1884
Örebro,Örebro,30,64,59,51,41,33,32,33,22,14,11,80,2018,1880
Västmanland,Arboga,64,37,33,28,25,17,12,8,6,2,0,null,null,1984
Västmanland,Fagersta,39,null,null,18,15,null,null,6,4,2,null,null,null,1982
Västmanland,Hallstahammar,22,31,28,19,12,15,null,null,null,null,null,null,null,1961
Västmanland,Kungsör,34,29,27,null,null,null,null,null,7,3,null,null,null,1960
Västmanland,Köping,39,31,29,24,19,15,11,9,6,2,1,30,2016,1983
Västmanland,Norberg,31,null,null,null,null,null,null,null,null,0,null,null,null,1962
Västmanland,Sala,null,36,34,31,28,25,22,15,null,null,null,null,null,1981
Västmanland,Skinnskatteberg,38,null,25,14,null,20,24,null,5,2,null,20,2016,1904
Västmanland,Surahammar,null,23,null,4,null,0,10,null,0,0,0,null,null,1907
Västmanland,Västerås,24,48,48,43,38,31,32,23,18,14,13,50,2016,1980
Dalarna,Avesta,49,null,29,null,26,null,null,18,11,9,6,null,null,2084
Dalarna,Borlänge,27,49,34,40,50,49,46,31,19,16,15,100,2020,2081
Dalarna,Falun,61,null,22,19,24,24,14,13,11,10,8,null,null,2080
Dalarna,Gagnef,19,31,31,34,29,27,null,null,null,null,null,25,2016,2026
Dalarna,Hedemora,32,29,28,26,27,25,null,18,16,15,15,30,2016,2083
Dalarna,Leksand,30,19,18,22,18,7,null,1,0,0,0,25,2018,2029
Dalarna,Ludvika,21,39,34,35,34,28,27,26,25,22,21,60,2018,2085
Dalarna,Malung-Sälen,41,32,28,18,17,null,null,2,null,3,1,null,null,2023
Dalarna,Mora,31,31,34,null,null,null,27,18,12,null,6,null,null,2062
Dalarna,Orsa,29,26,28,34,null,21,14,11,9,9,11,25,null,2034
Dalarna,Rättvik,28,31,29,25,26,26,20,22,30,null,18,null,null,2031
Dalarna,Smedjebacken,32,29,34,29,null,null,null,25,23,17,16,null,null,2061
Dalarna,Säter,29,null,null,null,32,30,31,21,18,14,null,null,null,2082
Dalarna,Vansbro,null,19,20,null,20,8,null,null,null,null,null,null,null,2021
Dalarna,Älvdalen,22,17,17,null,8,null,null,null,0,0,null,null,null,2039
Gävleborg,Bollnäs,20,null,null,null,null,12,null,null,null,null,null,null,null,2183
Gävleborg,Gävle,12,41,41,38,30,27,26,26,20,15,11,50,2020,2180
Gävleborg,Hofors,41,null,null,16,12,7,7,6,,7,,15,2016,2104
Gävleborg,Hudiksvall,null,25,24,19,null,null,13,13,9,5,3,25,2016,2184
Gävleborg,Ljusdal,25,15,14,null,null,null,null,null,null,null,0,null,null,2161
Gävleborg,Nordanstig,null,null,11,null,19,15,13,12,null,3,2,null,null,2132
Gävleborg,Ockelbo,null,47,40,43,36,33,36,35,31,11,null,35,null,2101
Gävleborg,Ovanåker,46,22,15,null,null,9,12,12,9,8,1,25,2017,2121
Gävleborg,Sandviken,null,28,24,27,27,21,22,26,16,18,9,30,2016,2181
