Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Jämtland,Berg,null,null,null,null,null,null,null,null,null,3,5,null,null,2326
Jämtland,Bräcke,18,null,20,20,null,null,null,null,null,null,null,null,null,2305
Jämtland,Härjedalen,null,null,null,18,19,15,16,13,6,5,null,null,null,2361
Jämtland,Krokom,25,null,null,18,15,14,14,11,9,null,10,20,null,2309
Jämtland,Ragunda,18,null,null,9,null,null,9,null,null,3,1,null,null,2303
Jämtland,Strömsund,null,null,null,10,null,null,null,null,0,null,0,null,null,2313
Jämtland,Åre,50,43,29,32,32,32,33,31,29,27,24,30,2016,2321
Jämtland,Östersund,34,30,26,20,18,19,null,22,17,15,null,50,2020,2380
Västerbotten,Bjurholm,null,27,null,24,25,17,null,13,null,null,null,null,null,2403
Västerbotten,Dorotea,null,null,12,2,5,null,8,null,null,null,null,null,null,2425
Västerbotten,Lycksele,null,15,null,null,null,null,null,null,null,null,null,null,null,2481
Västerbotten,Malå,25,null,12,null,null,null,null,null,null,0,null,null,null,2418
Västerbotten,Nordmaling,null,null,11,null,null,null,null,null,null,null,null,25,2016,2401
Västerbotten,Norsjö,null,null,null,null,null,null,12,7,null,0,0,15,2016,2417
Västerbotten,Robertsfors,null,22,18,23,null,null,null,null,null,null,null,null,null,2409
Västerbotten,Skellefteå,null,14,11,13,13,12,null,8,3,null,null,null,null,2482
Västerbotten,Sorsele,null,null,null,11,6,null,null,null,null,1,0,null,null,2422
Västerbotten,Storuman,8,null,null,null,null,null,null,null,null,null,null,null,null,2421
Västerbotten,Umeå,15,26,25,25,27,27,21,20,8,10,,30,2016,2480
Västerbotten,Vilhelmina,null,null,11,11,8,4,10,5,2,1,5,null,null,2462
Västerbotten,Vindeln,null,20,null,null,null,null,null,null,0,2,3,null,null,2404
Västerbotten,Vännäs,24,23,22,17,17,null,null,6,5,0,null,25,2018,2460
Västerbotten,Åsele,null,null,13,null,null,0,null,0,null,null,null,null,null,2463
Norrbotten,Arjeplog,null,13,16,18,null,null,null,null,null,null,null,25,2016,2506
Norrbotten,Arvidsjaur,12,11,10,null,15,9,null,null,2,2,4,null,null,2505
Norrbotten,Boden,25,20,17,null,7,null,null,6,null,null,4,null,null,2582
Norrbotten,Gällivare,25,null,21,15,null,null,null,null,0,null,null,null,null,2523
Norrbotten,Haparanda,29,null,21,24,21,null,14,null,null,null,1,25,2017,2583
Norrbotten,Jokkmokk,14,null,19,24,21,null,null,null,null,null,null,30,null,2510
Norrbotten,Kalix,32,17,17,17,17,11,9,null,null,null,null,15,2016,2514
Norrbotten,Kiruna,25,26,25,null,22,18,17,10,null,12,null,null,null,2584
Norrbotten,Luleå,23,null,null,null,15,null,null,null,null,null,null,25,2018,2580
Norrbotten,Pajala,18,17,19,17,null,19,null,null,0,null,null,null,null,2521
Norrbotten,Piteå,11,9,null,8,null,null,12,8,null,null,null,20,2016,2581
Norrbotten,Älvsbyn,null,null,null,9,10,10,null,null,null,null,null,null,null,2560
Norrbotten,Överkalix,null,null,null,null,null,null,null,null,null,null,null,null,null,2513
Norrbotten,Övertorneå,null,null,null,null,23,null,null,18,15,8,3,25,2016,2518
